,A83-1002.pdf.txt,D09-1016.pdf.txt,E91-1034.pdf.txt,J06-1006.pdf.txt
problems,24,0,1,2
proceedings,4,12,1,1
semantic,24,8,72,0
book,0,0,1,17
in,230,127,100,68
of,297,180,149,138
features,3,32,33,0
reviews,0,0,0,3
natural-language,4,0,0,0
the,728,408,190,199
and,247,150,40,99
introducing,0,0,1,5
interface,15,0,0,0
2009,0,2,0,0
selection,2,0,5,0
speech,0,0,2,34
to,292,131,35,87
conference,4,11,2,0
restrictions,0,0,6,0
dsms,1,0,0,0
on,34,67,14,26
elena,0,0,1,0
language,68,1,2,19
with,51,40,22,42
empirical,0,2,0,0
v,2,1,5,0
processing,8,3,2,15
examples,1,8,3,3
methods,1,3,0,8
paducheva,0,0,2,0
john,6,2,1,2
from,32,31,6,11
institute,0,0,1,0
coleman,0,0,0,16
eufid,57,0,0,0
natural,11,5,2,8
o,16,0,7,0
university,2,2,1,5
marjorie,1,0,0,0
f,55,38,7,0
templeton,3,0,0,0
scientific,0,0,1,0
oxford,0,0,0,1
pages,0,17,0,0
cambridge,1,1,0,2
burger,4,0,0,0
151–160,0,1,0,0
technical,1,1,1,0
system,68,25,5,2
singapore,0,1,0,0
information,19,21,6,1
press,1,1,0,1
development,14,1,0,0
6-7,0,1,0,0
corporation,4,0,0,0
august,3,6,0,0
introductions,0,0,0,1
santa,1,0,0,0
it,66,14,21,13
mortice,1,0,0,0
c©2009,0,1,0,0
i,85,47,21,4
california,2,0,0,0
acl,0,1,0,2
academy,0,0,1,0
abstract,1,1,1,0
linguistics,0,5,2,15
for,124,113,17,45
afnlp,0,1,0,0
2005,0,7,0,7
five,3,3,0,0
a,302,144,102,114
sciences,1,0,1,1
xi+301,0,0,0,1
years,2,0,0,3
unified,0,26,0,0
pp;,0,0,0,1
model,2,49,0,1
hardbound,0,0,0,1
end-user,3,0,0,0
isbn,0,0,0,2
friendly,4,0,0,0
phrasal,0,6,0,0
ussr,1,0,1,0
0-521-82365-x,0,0,0,1
125219,0,0,1,0
90,0,11,0,1
sentential,0,35,0,0
moscow,0,0,1,0
00;,0,0,0,1
data,53,32,0,3
evidence,0,9,0,0
usievicha,0,0,1,0
paperbound,0,0,0,1
management,20,0,0,0
20a,0,0,1,0
telefax,0,0,1,0
0-521-53069-5,0,0,0,1
pro-,1,2,0,0
extraction,0,28,0,1
z095,0,0,1,0
39,0,8,0,1
ject,1,0,0,0
siddharth,0,1,0,0
9430060,0,0,1,0
99,0,0,0,1
team,1,0,0,0
patwardhan,0,5,0,0
reviewed,1,0,0,1
at,11,7,6,10
one,21,11,7,3
by,49,31,14,21
ellen,0,1,0,0
mary,1,0,0,2
riloff,0,16,0,0
harper,0,0,0,4
corpora-,1,0,0,0
school,0,2,0,1
essential,1,0,2,0
purdue,0,0,0,5
tion,19,15,3,0
aspects,0,0,1,0
worked,1,1,0,0
computing,2,2,0,1
is,155,82,57,52
described,3,7,1,3
october,0,0,0,1
2003,0,5,0,3
design,16,0,0,0
utah,0,3,0,0
an,55,37,16,20
salt,0,1,0,0
expert,0,0,2,0
group,4,0,9,1
implementa-,1,0,0,0
lake,0,1,0,0
city,2,4,0,1
called,7,1,2,0
multidisciplinary,0,0,0,2
ut,0,1,0,0
lexicograpiter,0,0,1,0
researchers,1,0,1,2
84112,0,1,0,0
designed,6,4,2,0
convened,0,0,0,1
{sidd,0,1,0,0
riloff},0,1,0,0
supply,0,0,1,0
nli,37,0,0,0
cs,0,1,1,1
symposium,0,0,0,2
user,59,0,3,0
that,100,89,33,25
edu,0,1,0,1
next,2,4,0,7
was,16,9,3,0
diverse,0,0,1,0
generation,2,1,0,3
brformation,0,0,1,0
automatic,0,1,0,3
be,142,22,18,19
about,17,7,7,7
independent,6,2,0,0
ie,5,53,1,0
russian,1,0,3,0
recognition,0,2,0,7
systems,22,19,2,2
words,17,8,12,0
asr,0,0,0,7
both,10,12,1,2
h,6,6,8,1
extract,0,10,0,1
cluding,0,0,1,0
consider,0,3,0,1
application,37,0,0,0
role,0,27,3,0
bibliographic,0,0,2,0
new,28,7,0,2
fillers,0,10,0,0
hi,0,0,2,0
directions,0,1,0,1
forma-,0,0,1,0
database,111,0,6,0
events,1,7,0,0
building,2,0,0,3
typically,1,3,0,0
concemhrg,0,0,1,0
look,0,1,0,1
hrdividual,0,0,1,0
lexical,5,3,6,1
lee,0,1,0,2
this,55,40,21,17
entries,1,0,1,0
paper,3,3,2,0
local,1,20,0,0
tire,0,1,3,0
although,3,1,0,11
we,8,87,5,0
context,3,25,7,0
describe,3,5,0,0
surrounding,0,7,0,0
workshop’s,0,0,0,1
goal,1,2,0,4
natural-,15,0,0,0
phrase,0,17,0,0
when,18,6,4,0
“integrating,0,0,0,1
deciding,0,2,0,0
contahrs,0,0,1,0
multi-,1,2,0,1
whether,6,7,3,0
emantic,0,0,1,0
disciplinary,0,0,0,1
btfonnation,0,0,1,0
sources,0,0,0,5
involved,4,0,0,0
catmot,0,0,1,0
knowledge,9,1,1,7
of-,0,1,0,0
ten,3,1,0,0
elicited,0,0,1,0
acoustics,0,0,0,1
however,8,7,0,3
specific,4,9,0,0
existhrg,0,0,1,0
cognitive,0,0,0,1
refer-,1,0,0,0
occur,0,4,0,0
dictionaries,1,0,2,0
science,0,0,0,8
ence,2,1,0,0
signal,0,0,0,7
clauses,0,2,0,0
priority,0,0,1,0
human,0,13,0,4
are,90,44,15,30
given,4,3,4,2
computer,8,0,0,9
not,57,20,22,7
interaction,7,0,0,1
as,83,32,36,14
directly,0,1,0,0
linked,1,1,0,0
example,21,9,7,8
influenchtg,0,0,1,0
into,23,6,1,7
introduction,2,2,0,3
event,0,94,3,0
or,69,25,18,6
every,5,2,2,1
word,8,1,12,0
grammatical,0,0,4,0
stage,3,0,0,2
1976,5,0,0,0
co-occurrence,0,0,2,0
present,3,5,8,0
1981,1,0,5,0
pos-,1,0,1,0
component,0,2,8,1
sdc,4,0,0,0
sibilities,0,0,1,0
invo,1,0,0,0
discussed,2,3,1,12
design”,0,0,0,1
lved,2,0,0,0
predicting,0,0,2,0
selectional,0,0,2,0
important,3,1,1,5
deve,2,0,0,0
jointly,0,2,0,0
restric-,0,0,1,0
lopment,1,0,0,0
considers,0,1,0,0
tions,18,2,2,0
there,30,1,5,14
remains,0,1,0,1
basis,2,1,2,0
divide,0,0,1,4
among,1,1,1,2
around,0,4,0,0
these,19,25,3,3
communities,0,0,0,3
along,0,1,0,3
can,40,12,8,7
only,13,14,5,4
bz,0,0,1,0
wider,0,5,0,0
addressed,3,0,0,3
lexicon,0,0,3,0
through,3,2,0,6
natura,5,0,0,0
1,1,23,8,6
l,71,0,4,0
lex,0,0,2,0
educational,0,0,0,1
-,37,1,46,0
ical,2,1,1,0
process,3,1,1,3
proba-,0,1,0,0
inter-,8,1,0,0
bilistic,0,1,0,0
face,4,0,0,1
framework,2,8,0,0
our,4,56,4,0
approach,5,4,0,3
lexicograpller,0,0,1,0
uses,8,9,0,1
recognizer,0,38,0,0
inthe,0,0,1,0
represents,2,0,0,2
first,4,1,4,7
plausible,0,16,0,0
place,0,0,12,0
bold,0,0,0,1
role-filler,0,11,0,0
effort,2,0,0,1
purposes,4,0,2,0
educate,0,0,0,1
underlying,6,0,0,0
students,0,0,0,9
conditioned,0,3,0,0
dbms,45,0,0,0
sentences,0,20,1,0
\[temp79,1,0,0,0
work,5,13,1,1
some,23,10,7,7
temp80,1,0,0,0
evaluate,0,6,0,0
burg80,1,0,0,0
burg82\],1,0,0,0
project,1,0,1,0
two,15,27,6,4
being,3,3,1,0
used,33,17,4,11
conducted,0,0,1,0
permits,3,0,0,0
users,20,0,0,1
sets,2,12,0,0
communicate,1,0,0,0
show,1,5,0,0
including,1,1,1,4
nlp,0,0,3,3
e,17,16,21,6
performs,0,2,0,0
belorusova,0,0,1,0
well,4,2,2,3
s,44,21,5,0
krylov,0,0,2,0
english,17,0,1,0
comparison,0,1,0,1
rather,1,1,1,1
rakhilina,0,0,4,0
than,16,4,2,3
ex-,0,10,2,0
m,4,5,10,0
step,3,0,0,2
formal,8,0,0,2
isting,0,1,1,0
filipenko,0,0,1,0
query,51,0,0,0
forging,0,0,0,1
languages,2,0,1,0
effective,1,2,0,1
;,0,0,6,0
collaborations,0,0,0,1
rely,0,3,1,0
cf,0,0,14,0
assumed,1,0,0,0
paduchcva,0,0,1,0
1989,0,0,5,2
domain,6,2,0,0
consists,2,2,2,0
defined,8,2,0,3
states,1,0,0,1
basic,6,0,1,4
bounded,1,0,0,0
components,0,9,2,1
chapter,0,0,0,44
use,15,18,2,4
share,1,0,0,0
his,2,0,2,2
patterns,3,7,0,0
common,7,1,2,0
lbd,0,0,2,0
g,13,9,3,6
“this,0,0,0,1
soderland,0,3,0,0
address,2,0,0,0
et,1,9,0,0
al,5,11,1,0
bibliographical,0,0,1,0
applica-,4,0,0,0
1995,0,3,0,0
bbd,0,0,4,0
elementary,0,0,0,1
1996,0,5,0,0
yangarber,0,3,0,0
short,2,1,0,2
textbook,0,0,0,3
may,42,5,7,2
vocabulary,0,0,3,0
have,33,12,7,6
2000,0,4,0,4
presented,0,2,3,8
little,1,0,0,1
califf,0,3,0,0
experience,2,0,0,1
mooney,0,6,0,0
machine,3,8,1,2
computers,2,0,0,0
readable,0,0,1,0
form,2,1,3,1
dbmss,10,0,0,0
classifiers,0,10,0,0
beginners,0,0,0,1
but,21,16,4,3
consisting,0,0,1,0
competent,1,0,0,0
freitag,0,6,0,0
several,9,4,4,5
1998,0,6,0,0
domaines,0,0,1,0
no,23,2,3,7
previous,4,3,0,1
area,4,0,0,0
mccallum,0,2,0,0
usual,0,0,2,0
least,3,0,2,0
chieu,0,3,0,0
relational,10,1,1,0
programming”,0,0,0,1
three,8,7,0,3
page,0,0,0,3
broad,1,0,0,3
2,9,22,7,4
categories,1,0,0,0
bunescu,0,3,0,0
targets,0,3,0,1
issues,8,1,0,3
get,3,0,2,2
had,5,4,0,0
2004,0,6,0,0
morphology,1,0,1,0
syntactic,9,5,9,1
during,4,1,0,0
variety,0,2,1,3
prosody,0,0,1,0
disciplines,0,0,0,1
most,7,8,0,2
referential,0,0,1,0
arts,0,0,0,2
apparent,1,0,0,0
humanities,0,0,0,2
they,15,8,1,4
individual,1,1,2,0
psychology,0,0,0,1
iexical,0,0,1,0
immediate,0,4,0,0
items,3,0,2,0
any,15,2,1,3
general,7,3,1,1
early,3,1,1,1
included,0,0,2,0
engineering,2,0,0,3
must,34,2,6,0
who,9,2,2,1
want,0,1,0,1
tasks,0,2,0,0
category,1,0,0,0
such,38,8,8,3
glimpse,0,0,0,2
involves,8,1,0,0
named,3,2,1,0
entity,3,2,0,0
how,9,5,1,6
character,3,0,0,0
ize,1,0,0,0
\[,1,0,4,0
usually,1,1,3,0
+,0,0,4,0
since,5,3,0,1
requirements,2,0,0,0
sufficient,0,1,1,1
act,0,0,2,0
assumes,2,0,0,1
verb\],0,0,2,0
prior,0,4,0,2
human-machine,1,0,0,0
more,10,3,5,9
\[+,0,0,5,0
dialo-,1,0,0,0
complex,7,1,0,0
per-,1,3,1,0
gue,1,0,0,0
formative,0,0,1,0
capture,1,2,0,0
verb,1,2,12,0
text,5,8,1,4
infor-,2,1,1,0
motion\],0,0,1,0
likely,1,1,0,1
mation,2,1,2,0
larger,1,4,0,0
efficiently,1,0,0,0
field,10,1,4,0
formalize,1,0,0,0
kinship,0,0,1,0
less,3,4,0,1
view,8,1,0,0
term\],0,0,1,0
accessible,2,1,1,1
\]+part,0,0,1,0
often,2,6,2,0
traditional,0,1,0,1
needed,7,2,0,3
incorporate,1,4,0,0
body\],0,0,1,0
understand,4,1,0,0
\[+person,0,0,1,0
facts,0,4,1,1
opposed,0,1,2,0
coleman’s,0,0,0,4
tie,0,1,0,0
motivation,0,0,0,2
together,3,1,0,5
physical,0,0,1,0
writing,0,0,0,1
body,0,0,1,0
\],1,0,2,0
\[+parameter\],0,0,1,0
etc,0,0,6,0
all,25,11,7,1
identify,1,6,0,0
currently,2,0,0,2
available,2,1,0,4
major,5,0,0,0
textbooks,0,0,0,4
appear,2,3,0,0
dozen,0,0,1,0
arguments,0,2,2,0
programs,1,0,1,7
require,4,2,0,1
now,2,1,4,0
acquisition,1,1,0,0
verbs,2,3,13,0
existing,2,1,3,2
{ve,0,0,1,0
representa-,2,0,0,0
nouns,3,2,0,0
either,12,3,0,1
following,2,2,6,0
explicitly,1,3,0,0
options,0,0,1,0
many,19,8,2,6
via,1,5,0,0
relations,6,3,2,0
marking,0,0,1,0
background,1,1,0,2
bringing,3,0,0,1
would,15,5,0,11
up,8,3,0,2
implicitly,0,1,0,0
proximity,0,1,0,0
feature,0,4,30,0
requires,5,0,0,0
programming,2,0,0,3
extensive,2,0,0,0
murdered,0,1,0,0
tom,0,2,0,0
list,9,0,3,5
author,0,0,0,2
designers,1,0,0,0
words;,0,0,1,0
also,19,7,1,5
murder,0,1,0,0
astutely,0,0,0,1
coopera-,1,0,0,0
points,1,0,0,1
compiling,1,0,3,1
out,1,1,5,3
lists,1,0,4,1
representative,3,0,0,0
tends,0,1,0,1
set,16,18,4,4
possessing,0,0,1,0
end-,2,0,0,0
tools,1,1,0,3
between,14,4,2,4
could,15,9,0,7
areas,4,0,0,3
assist,3,0,0,1
do,7,6,2,0
automating,1,0,0,0
contain,5,4,1,0
named;,0,0,1,0
computational,1,6,2,9
requiring,0,1,0,0
badly,1,0,0,0
discourse,0,2,0,0
documents,0,17,2,0
containing,3,1,1,1
recent,0,2,0,1
second,5,3,1,1
deep,0,1,0,0
structural,3,1,0,0
analysis,9,1,3,5
ubiquity,0,0,0,1
lexeme,0,0,4,0
associate,0,1,0,0
statistical,0,1,0,1
modeling,0,0,0,3
techniques,2,2,0,4
learning,0,13,0,2
roles,0,6,0,0
assign,1,1,0,0
constituent,2,0,0,0
structure,18,0,1,2
interpretation,8,0,1,0
below,3,2,0,0
queries,10,0,0,0
seven,1,2,0,0
features;,0,0,1,0
becoming,0,0,0,1
using,8,17,1,6
people,2,9,0,0
much,3,3,1,1
robust,3,0,0,0
alphabetical,0,0,1,0
smaller,0,0,0,1
died,0,2,0,0
author’s,0,0,0,1
30,1,3,1,0
were,14,11,2,0
injured,0,1,0,0
fea-,0,1,2,1
low,3,3,0,0
tures,2,1,2,0
extension,1,0,0,0
india,0,1,0,0
mentioned,1,0,3,1
after,0,3,2,1
excellent,0,0,0,1
additional,2,2,0,7
terror-,0,1,0,0
“a,0,0,0,1
ists,0,1,1,0
bbd;,0,0,1,0
refusal,0,0,0,1
launched,0,3,0,0
sentence,5,31,7,0
let,0,0,0,1
types,6,8,0,3
attack,0,3,0,0
play,0,0,1,1
old,1,1,0,1
sociological,0,0,0,1
relationships,5,0,0,0
taj,0,1,0,0
hotel,0,1,1,0
mexico,0,1,0,0
dist,3,0,0,0
inguish,1,0,0,0
stand,0,0,0,1
its,5,8,9,6
catalog,0,0,1,0
assignment,1,0,0,0
representing,1,0,1,0
sub-,2,1,1,0
way,6,1,0,3
urbs,0,1,0,0
running,3,0,1,0
state,3,1,3,0
parsing,9,0,2,9
swine,0,1,0,0
wave,0,1,0,4
flu,0,1,0,0
outbreak,0,5,0,0
spoken,0,0,0,1
other,18,6,2,0
tractor-trailer,0,1,0,0
collided,0,1,0,0
foot,0,0,0,1
combine,1,0,0,0
bus,3,4,0,0
camps”,0,0,0,1
consti-,1,0,0,0
arkansas,0,1,0,0
tuent,1,0,0,0
4,9,20,3,2
bridges,0,3,0,1
destroyed,0,1,0,0
covers,1,0,0,1
baghdad,0,1,0,0
integrated,2,0,0,0
last,0,2,0,0
night,0,1,0,0
lexicographically,0,0,1,0
grammar,11,0,6,7
useful,1,0,3,1
third,3,1,0,0
resurgence,0,1,0,0
class,3,5,6,0
bomb,0,4,0,0
attacks,0,2,0,0
process-,0,0,0,2
ing,16,7,3,3
capital,0,1,0,0
contradistinction,0,0,1,0
actual,6,1,0,0
ly,33,0,2,0
perform,1,2,0,0
50,0,21,0,0
implementing,0,0,0,1
million,0,2,0,0
intent,2,0,0,0
damage,0,1,0,0
them,7,2,1,7
catalogs,0,0,1,0
caused,1,2,0,0
c,13,3,4,14
question,35,0,2,0
contains,9,1,3,6
hurricane,0,1,0,0
bibli-,0,0,1,0
prolog,0,0,0,12
formulating,1,0,0,0
ographic,0,0,1,0
hit,0,2,0,0
correct,6,1,0,0
miami,0,1,0,0
capitalizes,0,0,0,1
structured,3,0,0,0
friday,0,1,0,0
lexemes,0,0,1,0
insights,0,0,0,2
eff,1,0,0,0
make,6,9,1,0
ic,11,0,2,0
198,3,0,1,0
courses,0,0,0,1
iently,1,0,0,0
offered,0,0,0,3
navigat,1,0,0,0
modern,0,1,1,1
safer,0,1,0,0
graduate,0,0,0,1
will,10,7,4,4
12,0,1,2,0
500,0,0,1,0
comes,0,1,0,1
retrieve,5,0,0,0
constructed,2,1,0,0
morphological,0,0,1,0
right,1,1,1,0
companion,0,0,0,3
answer,13,26,2,0
year,1,1,1,0
istaken,0,0,1,0
cd,0,0,0,3
software,1,2,0,3
illustrate,0,1,0,0
diction-,0,0,1,0
thorough,1,0,0,0
ary,2,1,1,0
under-,4,0,0,0
zalizniak,0,0,1,0
compile,0,0,0,3
standing,2,0,0,0
phenomenon,0,1,0,0
1977,3,0,2,0
and/or,0,0,0,1
execute,0,0,0,2
where,11,13,4,1
appl,23,0,0,0
usual-,0,0,1,0
icat,10,0,0,0
stated,0,2,1,0
ion,41,0,1,0
filling,0,1,0,1
cannot,16,0,3,0
source,0,4,0,1
operations,3,0,0,1
code,2,0,0,8
found,3,0,1,2
func-,3,0,0,0
readers,0,2,0,0
implementations,0,0,0,2
supports,2,0,0,0
trou-,0,1,0,0
ble,0,2,0,0
according,0,0,2,0
readme,0,0,0,1
making,1,1,0,0
file,2,0,0,6
nature,2,2,0,0
u,1,2,5,0
inference,0,3,0,0
weinreich,0,0,4,0
volati,1,0,0,0
helpful,0,0,0,6
ty,9,0,0,0
above,2,2,0,0
installation,0,0,0,1
main,1,2,2,0
notes,0,0,0,3
subject,2,0,25,0
while,5,5,2,1
data-,10,0,0,0
base,17,0,0,0
obviously,1,0,1,0
describes,2,1,0,1
notion,0,1,4,0
reveal,0,1,0,0
each,27,19,0,3
related,5,3,0,1
associated,2,2,1,1
death,0,2,0,0
destruc-,0,1,0,0
deal,1,0,0,0
event-specific,0,1,0,0
name,13,0,1,0
volume,1,0,0,3
32,0,3,0,3
number,7,1,0,4
distr,2,0,0,0
i-,2,0,0,0
1967,1,0,1,0
buted,1,0,0,0
de-,0,2,0,1
comprehensive,0,0,0,2
throughout,1,0,0,0
struction,0,1,0,0
proposed,0,0,2,0
result,4,3,1,0
topics,1,0,0,2
distinc-,0,0,1,0
wide,1,2,0,0
covered,0,0,0,1
paradigmatic,0,0,1,0
“first,0,0,0,1
incident,4,4,0,0
principles,0,0,0,1
purpose,3,1,4,0
”,0,0,0,1
ap,0,0,1,0
provides,0,0,0,7
p,7,36,12,0
tails,0,0,0,1
fail,0,1,0,0
rox,0,0,1,0
imate,0,0,1,0
environment,0,0,0,1
componential,0,0,2,0
might,9,0,0,1
because,18,5,1,1
nalysis,0,0,1,0
bendix,0,0,2,0
1965,1,0,1,0
recognize,3,1,0,0
transfer,0,0,4,0
illus-,1,0,0,0
provided,0,0,0,5
trations,1,0,0,0
distinction,0,0,1,0
made,4,0,2,0
relevant,1,10,0,0
possible,4,0,8,0
section,6,13,0,0
listing,0,0,0,1
includes,2,0,0,0
type,4,4,0,1
brief,1,1,0,4
skills,0,0,0,1
review,1,0,0,0
need,5,3,0,1
looking,1,1,0,0
broader,0,1,1,0
started,1,0,0,1
overview,2,1,0,0
sense,1,0,1,1
propose,0,1,0,0
encourages,0,0,0,1
transformational,0,0,1,0
reader/student,0,0,0,1
tg,0,0,2,0
student,0,0,0,16
traction,0,3,0,0
henceforth,0,0,0,1
goals,4,0,0,0
incorporates,0,1,0,0
strictly,0,0,2,0
just,1,2,0,1
run,2,0,0,1
achieved,3,1,1,0
senten-,0,1,0,0
ones,0,0,1,0
tial,1,1,0,0
namely,0,0,3,0
four,3,3,0,0
discusses,1,2,0,5
detail,1,1,0,2
“tinker”,0,0,0,1
ome,1,0,1,0
uni-,0,2,0,0
fied,0,1,0,0
strict,0,0,1,0
order,3,0,1,5
probabilistic,0,9,0,6
categorization,0,1,1,0
gain,0,1,0,4
glacier,0,18,0,0
deeper,0,0,0,3
understanding,5,2,0,6
arose,1,0,0,0
take,2,1,1,0
suggests,1,1,0,0
part,5,2,1,1
guidelines,2,3,0,0
formulation,0,0,1,0
determining,2,0,0,0
lays,0,0,0,1
rules,8,2,1,1
weinreieh,0,0,1,0
appropriate,6,0,0,1
recognizing,0,1,0,0
conception,0,0,1,0
target,3,3,0,0
plausi-,0,1,0,0
graphically,0,0,0,1
ser-,0,0,1,0
ves,0,0,1,0
different,16,3,5,0
depict,0,0,0,1
ii,2,0,2,0
dependencies,0,1,0,1
